trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",30,13,-10.275398503936772,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,15,-2.1719346489326083,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,22,16.514465714930328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,5,-19.39901987603761,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,14,11.737317019336329,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,16,7.519111563642817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,16,17.928222469481412,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,12,-4.076643133261311,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,15,8.807837196479596,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",30,15,28.994282704418918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,16,7.338301867354339,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,15,19.745793502247064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,15,14.851649879097074,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,14,8.13172431398013,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
